Construct,Indicator,PLS_Q2,PLS_RMSE,PLS_MAE,Best_ML_Model,ML_RMSE,ML_MAE,R2,ML_Q2,RMSE_Delta,Q2_Delta
EST,EST1,0.05,0.732,0.551,RandomForest,0.6955826256474238,0.4411331908831908,0.1197209059509571,0.1197209059509571,0.03641737435257619,0.06972090595095709
EST,EST3,0.171,0.748,0.561,RandomForest,0.5632801016674324,0.3944017094017094,0.5183735695276115,0.5183735695276115,0.18471989833256763,0.34737356952761145
EST,EST4,0.092,0.71,0.505,RidgeRegression,0.6316542970426554,0.4266588591345147,0.2628491264754351,0.2628491264754351,0.07834570295734455,0.17084912647543513
OUAI,OUAI2,0.189,0.715,0.567,RandomForest,0.707709505049531,0.4898614445653806,0.1852438257535135,0.1852438257535135,0.007290494950468962,-0.003756174246486499
OUAI,OUAI3,0.314,0.79,0.634,RidgeRegression,0.8659256692682658,0.7128391094217785,0.1488900973095576,0.1488900973095576,-0.07592566926826572,-0.1651099026904424
OUAI,OUAI4,0.071,0.914,0.723,RandomForest,0.8578658063679795,0.7010851887048632,0.1615316695284506,0.1615316695284506,0.056134193632020546,0.09053166952845061
PBUG,PBUG1,0.235,0.706,0.569,RidgeRegression,0.6384039268318981,0.4589607350096922,0.3551124975383478,0.3551124975383478,0.0675960731681019,0.1201124975383478
PBUG,PBUG2,0.22,0.725,0.52,RandomForest,0.6273225790879986,0.4155555555555555,0.4015849704240608,0.4015849704240608,0.09767742091200138,0.18158497042406083
PBUG,PBUG3,0.077,0.86,0.736,RandomForest,0.8211067548282092,0.6462721152073181,0.1355253980222684,0.1355253980222684,0.038893245171790825,0.0585253980222684
PBUG,PBUG4,0.16,0.729,0.6,RidgeRegression,0.6020345728578015,0.4914643161023435,0.4084980702367479,0.4084980702367479,0.1269654271421985,0.2484980702367479
VUTAI,VUTAI1,0.075,0.753,0.623,RidgeRegression,0.7282423539577497,0.5471014772510236,0.1174590102899965,0.1174590102899965,0.02475764604225028,0.042459010289996504
VUTAI,VUTAI2,0.07,0.692,0.546,RandomForest,0.5654077947997775,0.3460942205942205,0.3612579742616113,0.3612579742616113,0.1265922052002224,0.2912579742616113
VUTAI,VUTAI3,0.103,0.821,0.662,RandomForest,0.7915811579873956,0.5701406186406186,0.1452379283907683,0.1452379283907683,0.029418842012604363,0.0422379283907683
